longitude,latitude,crs,lit,name,osm,light:method,light:direction,height,support
11.0388435,49.4916108,EPSG:4326,,,n2677642685,,,,
11.0357429,49.4910741,EPSG:4326,,,n2677642689,,,,
11.034882,49.4910184,EPSG:4326,,,n2677642692,,,,
11.0406667,49.4933888,EPSG:4326,,,n2677642693,,,,
11.0440308,49.4952798,EPSG:4326,,,n2677642695,,,,
11.0399163,49.4918217,EPSG:4326,,,n2677642699,,,,
11.0443231,49.4958494,EPSG:4326,,,n2677642704,,,,
11.047899,49.4337681,EPSG:4326,no,Schweinau,n2677815493,,,,
11.1735613,49.3965914,EPSG:4326,no,Moorenbrunn,n2688973473,,,,
11.0080709,49.5247981,EPSG:4326,no,Am Steig,n2705032236,,,,
